id,school_id,first_name,last_name,age,preferred_spot,potential_score,shoot,tackle,speed,accuracy,awareness
1,1,Ahmed,Khan,17,GK,78,45,70,68,72,80
2,1,Omar,Hassan,16,RB,82,58,78,85,70,74
3,1,Saad,Malik,17,CB,80,52,82,72,68,76
4,1,Ali,Raza,16,CB,79,50,80,74,70,75
5,1,Hassan,Ali,17,LB,81,55,76,83,72,73
6,1,Usman,Sheikh,18,CDM,85,62,85,70,78,82
7,1,Bilal,Ahmad,17,CM,84,72,72,76,80,79
8,1,Zain,Farooq,16,CAM,88,78,65,78,85,77
9,1,Fahad,Iqbal,17,RW,90,88,60,90,82,74
10,1,Hamza,Qureshi,16,LW,89,86,62,88,80,72
11,1,Imran,Butt,18,ST,91,92,55,84,78,70
12,2,Yusuf,Ahmed,17,GK,76,42,68,70,74,78
13,2,Kamran,Shah,16,CB,77,48,79,71,69,74
14,2,Arslan,Mirza,17,CM,83,70,74,75,82,80
15,2,Danish,Hussain,18,RW,86,84,58,87,79,71
16,2,Rayyan,Malik,16,ST,87,90,52,82,76,68
17,2,Taha,Siddiqui,17,CDM,82,60,83,69,77,81
18,3,Sanaullah,Khan,17,GK,74,40,66,68,70,76
19,3,Nabeel,Akram,16,LB,78,54,74,81,71,72
20,3,Farhan,Aziz,18,CAM,85,80,63,77,84,75
21,4,Adeel,Noor,17,CB,79,49,81,73,71,77
22,4,Shahzaib,Rashid,16,CM,81,68,70,78,81,78
23,4,Waqas,Tariq,18,LW,84,82,60,86,78,70
